Year,Zipcode,Age_0_4,Age_5_14,Age_15_64,Age_65_84,Age_85_and_Over,Accidents,Total,Alzheimers,Homicide,Cerebrovascular,Cirrhosis,Respiratory,Diabetes,Heart,Hypertension,InfluenzaPneumonia,Suicide,Neoplasms,Nephrosis,Parkinsons
2005,91007,0.0,0.0,32.0,97.0,113.0,,251.0,,,23.0,,,,78.0,,,,76.0,,
2005,91008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,91010,0.0,0.0,36.0,104.0,87.0,,237.0,,0.0,15.0,,14.0,,81.0,,16.0,0.0,52.0,0.0,
2005,91020,0.0,0.0,0.0,15.0,23.0,0.0,57.0,,0.0,,,,,18.0,,,,14.0,0.0,0.0
2005,91030,,0.0,16.0,56.0,48.0,,138.0,,,13.0,,,,45.0,,,,34.0,0.0,
2005,91040,0.0,0.0,24.0,81.0,45.0,11.0,169.0,,,11.0,,,,63.0,,,,37.0,,
2005,91046,0.0,0.0,0.0,0.0,,,11.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0
2005,91101,0.0,0.0,,39.0,57.0,,133.0,,0.0,,,,0.0,47.0,,,,31.0,0.0,0.0
2005,91103,,0.0,52.0,100.0,57.0,12.0,226.0,,,13.0,,15.0,,73.0,0.0,16.0,,43.0,,0.0
2005,91104,0.0,0.0,34.0,114.0,84.0,,243.0,,,21.0,,,11.0,82.0,,12.0,,46.0,,0.0
2005,91105,0.0,0.0,0.0,65.0,70.0,,148.0,,,13.0,,14.0,,41.0,,,,33.0,,
2005,91106,0.0,0.0,20.0,41.0,49.0,,124.0,0.0,0.0,,,,,45.0,,,,32.0,0.0,0.0
2005,91107,,0.0,19.0,103.0,105.0,,241.0,,,17.0,,,,91.0,,15.0,,54.0,,
2005,91108,0.0,0.0,0.0,30.0,42.0,,95.0,,0.0,,0.0,,,39.0,0.0,,0.0,18.0,0.0,
2005,91125,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,91126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,91201,0.0,0.0,27.0,73.0,48.0,,151.0,,0.0,,,,,47.0,,,,45.0,0.0,
2005,91202,0.0,0.0,18.0,83.0,74.0,,189.0,,,12.0,,,,51.0,,14.0,,47.0,,
2005,91203,0.0,0.0,0.0,36.0,19.0,,68.0,,,,,,0.0,40.0,0.0,,,,,0.0
2005,91204,0.0,0.0,24.0,51.0,49.0,,128.0,,,,,,,39.0,,,,28.0,,0.0
2005,91205,,0.0,52.0,110.0,89.0,,264.0,,,15.0,,16.0,,100.0,,,,54.0,,
2005,91206,0.0,,42.0,123.0,105.0,,276.0,13.0,0.0,19.0,,15.0,,80.0,,14.0,,73.0,,
2005,91207,0.0,0.0,0.0,35.0,45.0,,91.0,,0.0,,,,,32.0,0.0,,0.0,21.0,,
2005,91208,0.0,0.0,0.0,49.0,48.0,,116.0,,,,,,0.0,32.0,0.0,,0.0,34.0,,
2005,91210,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0
2005,91214,0.0,0.0,32.0,96.0,70.0,,210.0,,0.0,13.0,,12.0,,66.0,,,,63.0,,
2005,91303,0.0,0.0,,47.0,32.0,,115.0,,,,,,,37.0,,,,22.0,0.0,0.0
2005,91306,0.0,,52.0,119.0,51.0,14.0,247.0,,,14.0,,11.0,12.0,73.0,0.0,,,52.0,,
2005,91311,0.0,0.0,54.0,141.0,79.0,12.0,283.0,13.0,,,,18.0,,97.0,,11.0,,67.0,,
2005,91316,0.0,0.0,18.0,81.0,79.0,,192.0,,,,,13.0,,66.0,,,,50.0,,
2005,91324,0.0,0.0,24.0,82.0,64.0,,182.0,,,,0.0,,,65.0,,12.0,,46.0,0.0,
2005,91325,,,37.0,106.0,80.0,,239.0,,,,,16.0,13.0,84.0,,16.0,,45.0,0.0,
2005,91326,,0.0,25.0,79.0,55.0,,174.0,,,16.0,,,,47.0,0.0,,0.0,49.0,,
2005,91330,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
2005,91331,,,134.0,188.0,83.0,25.0,429.0,,,21.0,,19.0,27.0,119.0,,11.0,,108.0,,
2005,91335,0.0,,105.0,198.0,207.0,16.0,529.0,32.0,,32.0,,25.0,13.0,168.0,,22.0,,120.0,,
2005,91340,0.0,,38.0,71.0,40.0,,170.0,,,13.0,,,12.0,39.0,,,,34.0,,0.0
